Dataset, K, Total time, Diversity, Alpha,,
scp42.txt,14,597,0.051849038,0.4,,0.051849038
scp42.txt,15,610,0.051251353,0.4,,0.051251353
scp42.txt,16,608,0.050832246,0.4,,0.050832246
scp42.txt,17,611,0.051544888,0.4,,0.051544888
scp42.txt,18,619,0.052121191,0.4,,0.052121191
scp42.txt,19,617,0.051637499,0.4,,0.051637499
scp42.txt,20,624,0.051263746,0.4,,0.051263746
scp42.txt,5,578,0.04309412,0.5,,0.04309412
scp42.txt,6,592,0.043541744,0.5,,0.043541744
scp42.txt,7,587,0.043118854,0.5,,0.043118854
scp42.txt,8,583,0.043317045,0.5,,0.043317045
scp42.txt,9,586,0.043038064,0.5,,0.043038064
scp42.txt,10,589,0.043124591,0.5,,0.043124591
scp42.txt,11,587,0.046346429,0.5,,0.046346429
scp42.txt,12,590,0.048654392,0.5,,0.048654392
scp42.txt,13,595,0.049566589,0.5,,0.049566589
scp42.txt,14,596,0.05027037,0.5,,0.05027037
scp42.txt,15,605,0.04971253,0.5,,0.04971253
scp42.txt,16,606,0.049321364,0.5,,0.049321364
scp42.txt,17,611,0.049986497,0.5,,0.049986497
scp42.txt,18,616,0.050524379,0.5,,0.050524379
scp42.txt,19,618,0.050072933,0.5,,0.050072933
scp42.txt,20,631,0.049724098,0.5,,0.049724098
scp42.txt,5,580,0.042186452,0.6,,0.042186452
scp42.txt,6,579,0.042580949,0.6,,0.042580949
scp42.txt,7,578,0.042184489,0.6,,0.042184489
scp42.txt,8,585,0.042370293,0.6,,0.042370293
scp42.txt,9,586,0.042108748,0.6,,0.042108748
scp42.txt,10,585,0.042189868,0.6,,0.042189868
scp42.txt,11,591,0.04521034,0.6,,0.04521034
scp42.txt,12,592,0.047374055,0.6,,0.047374055
scp42.txt,13,594,0.048229241,0.6,,0.048229241
scp42.txt,14,590,0.048889035,0.6,,0.048889035
scp42.txt,15,618,0.04836606,0.6,,0.04836606
scp42.txt,16,611,0.047999342,0.6,,0.047999342
scp42.txt,17,611,0.048622904,0.6,,0.048622904
scp42.txt,18,618,0.049127169,0.6,,0.049127169
scp42.txt,19,619,0.048703938,0.6,,0.048703938
scp42.txt,20,629,0.048376905,0.6,,0.048376905
scp42.txt,5,574,0.041385568,0.7,,0.041385568
scp42.txt,6,580,0.041733188,0.7,,0.041733188
scp42.txt,7,593,0.041360049,0.7,,0.041360049
scp42.txt,8,589,0.041534924,0.7,,0.041534924
scp42.txt,9,587,0.041288764,0.7,,0.041288764
scp42.txt,10,586,0.041365112,0.7,,0.041365112
scp42.txt,11,597,0.044207909,0.7,,0.044207909
scp42.txt,12,592,0.046244347,0.7,,0.046244347
scp42.txt,13,596,0.047049227,0.7,,0.047049227
scp42.txt,14,597,0.04767021,0.7,,0.04767021
scp42.txt,15,598,0.047177999,0.7,,0.047177999
scp42.txt,16,611,0.046832853,0.7,,0.046832853
scp42.txt,17,625,0.047419734,0.7,,0.047419734
scp42.txt,18,632,0.047894336,0.7,,0.047894336
scp42.txt,19,650,0.047496002,0.7,,0.047496002
scp42.txt,20,651,0.047188205,0.7,,0.047188205
scp42.txt,5,587,0.040673672,0.8,,0.040673672
scp42.txt,6,579,0.040979623,0.8,,0.040979623
scp42.txt,7,586,0.040627214,0.8,,0.040627214
scp42.txt,8,628,0.040792373,0.8,,0.040792373
scp42.txt,9,593,0.040559889,0.8,,0.040559889
scp42.txt,10,583,0.040631995,0.8,,0.040631995
scp42.txt,11,593,0.04331686,0.8,,0.04331686
